#	装备表																
#	Id	EntityId	IconId		Name	EquipProfession	EquipLevel	EquipPart	Attack	Defense	HitRate	Hedge	Strike	Tenacity	StrengthRate	Price	SellPrice
#	int	int	int		string	int	int	int	int	int	int	int	int	int	float	int	int
#	装备编号	对应的实体编号	对应图标编号	策划备注	装备名称	装备职业(0:通用)	装备等级	装备部位	攻击	防御	命中	闪避	暴击	格挡	强化增长率	购买价格	出售价格
#	剑士装备：10001-19999																
	10001	21001		1级大剑	新手大剑	1	1	1	10		2		1		0.1	100	10
	10002	21002		2级大剑	勇士大剑	1	2	1	50		4		2		0.2	200	20
	10003	21003		3级大剑	巨神大剑	1	3	1	100		8		4		0.3	300	30
	10004	21004		4级大剑	幽魂大剑	1	4	1	200		16		8		0.4	400	40
	10005	21005		5级大剑	紫阳大剑	1	5	1	400		32		16		0.5	500	50
	10006	21006		6级大剑	毁灭大剑	1	6	1	800		64		32		0.6	600	60
#	法师装备：20001-29999																
	20001	22001		1级法杖	新手法杖	2	1	1	10		2		1		0.1	100	10
	20002	22002		2级法杖	勇士法杖	2	2	1	50		4		2		0.2	200	20
	20003	22003		3级法杖	巨神法杖	2	3	1	100		8		4		0.3	300	30
	20004	22004		4级法杖	幽魂法杖	2	4	1	200		16		8		0.4	400	40
	20005	22005		5级法杖	紫阳法杖	2	5	1	400		32		16		0.5	500	50
	20006	22006		6级法杖	毁灭法杖	2	6	1	800		64		32		0.6	600	60
#	射手装备：30001-39999																
	30001	23001		1级弓箭  	新手长弓	3	1	1	10		2		1		0.1	100	10
	30002	23002		2级弓箭	勇士长弓	3	2	1	50		4		2		0.2	200	20
	30003	23003		3级弓箭	巨神长弓	3	3	1	100		8		4		0.3	300	30
	30004	23004		4级弓箭	幽魂长弓	3	4	1	200		16		8		0.4	400	40
	30005	23005		5级弓箭	紫阳长弓	3	5	1	400		32		16		0.5	500	50
	30006	23006		6级弓箭	毁灭长弓	3	6	1	800		64		32		0.6	600	60
